date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,Maize flour (yellow),KG,actual,Retail,PHP,15.0,0.3717
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.0,0.4957
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.35,0.4548
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,16.35,0.4052
2000-01-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,19.0,0.4709
2000-01-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.0,0.4461
2000-01-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,18.1,0.4486
2000-01-15,Region IX,Zamboanga del Sur,Zamboanga City,6.910255,122.071715,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,16.9,0.4188
2000-01-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.4,0.5056
2000-01-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,15.6,0.3866
2000-01-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,17.8,0.4411
2000-01-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,14.7,0.3643
2000-01-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,Maize flour (white),KG,actual,Retail,PHP,14.9,0.3693
2000-01-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,19.6,0.4857
2000-01-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.7,0.4634
2000-01-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,18.1,0.4486
2000-01-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,16.9,0.4188
2000-01-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (white),KG,actual,Wholesale,PHP,12.1,0.2999
2000-01-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (yellow),KG,actual,Retail,PHP,12.55,0.311
2000-01-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (yellow),KG,actual,Wholesale,PHP,11.4,0.2825
2000-01-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,18.9,0.4684
2000-01-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,16.4,0.4064
2000-01-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,15.35,0.3804
2000-01-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,18.0,0.4461
2000-01-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,16.0,0.3965
2000-01-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,16.5,0.4089
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,Maize flour (yellow),KG,actual,Retail,PHP,15.75,0.3877
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.0,0.4923
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.35,0.4517
2000-02-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,19.5,0.48
2000-02-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.0,0.4431
2000-02-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,18.0,0.4431
2000-02-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,77.0,1.8954
2000-02-15,Region IX,Zamboanga del Sur,Zamboanga City,6.910255,122.071715,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,16.85,0.4148
2000-02-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.5,0.5046
2000-02-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,16.55,0.4074
2000-02-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,17.75,0.4369
2000-02-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,15.0,0.3692
2000-02-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.0,0.4923
2000-02-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.85,0.464
2000-02-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,18.1,0.4455
2000-02-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,17.2,0.4234
2000-02-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (white),KG,actual,Retail,PHP,14.0,0.3446
2000-02-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (yellow),KG,actual,Retail,PHP,12.6,0.3102
2000-02-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,19.0,0.4677
2000-02-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,17.45,0.4295
2000-02-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,16.75,0.4123
2000-02-15,Region XI,Davao del Sur,Davao City,7.18,125.44,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,86.29,2.124
2000-02-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,18.1,0.4455
2000-02-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,16.05,0.3951
2000-02-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,16.6,0.4086
2000-03-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,Maize flour (yellow),KG,actual,Retail,PHP,17.75,0.4335
2000-03-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.0,0.4884
2000-03-15,National Capital region,Metropolitan Manila,Metro Manila,14.604167,120.982222,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.35,0.4481
2000-03-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.0,0.4884
2000-03-15,Region III,Nueva Ecija,Palayan,15.5415,121.0848,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,18.0,0.4396
2000-03-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.35,0.4969
2000-03-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,16.75,0.409
2000-03-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,18.3,0.4469
2000-03-15,Region VI,Iloilo,Iloilo City,10.696944,122.564444,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,15.85,0.3871
2000-03-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,Maize flour (white),KG,actual,Retail,PHP,15.0,0.3663
2000-03-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,Maize flour (white),KG,actual,Wholesale,PHP,14.35,0.3504
2000-03-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,20.0,0.4884
2000-03-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,19.0,0.464
2000-03-15,Region VII,Cebu,Cebu City,10.311111,123.891667,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,17.15,0.4188
2000-03-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (white),KG,actual,Wholesale,PHP,12.85,0.3138
2000-03-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (yellow),KG,actual,Retail,PHP,14.0,0.3419
2000-03-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,Maize flour (yellow),KG,actual,Wholesale,PHP,13.25,0.3236
2000-03-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,19.0,0.464
2000-03-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,17.65,0.431
2000-03-15,Region XI,Davao del Sur,Davao City,7.18,125.44,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,17.0,0.4151
2000-03-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,Maize (yellow),KG,actual,Wholesale,PHP,7.6,0.1856
2000-03-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (milled, superior)",KG,actual,Retail,PHP,18.5,0.4518
2000-03-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (milled, superior)",KG,actual,Wholesale,PHP,16.2,0.3956
2000-03-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (regular, milled)",KG,actual,Retail,PHP,17.0,0.4151
2000-03-15,Region XII,South Cotabato,Koronadal,6.503056,124.846944,cereals and tubers,"Rice (regular, milled)",KG,actual,Wholesale,PHP,15.2,0.3712
